instance,size,class,level,seed_idx,status,objective,n_emergencies,n_outsourced,n_outsourced_infeasible,n_outsourced_economic,n_inserted,frac_outsourced,outsourcing,tw_penalty,completion_penalty,W,LAMBDA,PI_S,PI_C
030_C109,30,C,4,6,OPTIMAL,76.0041,4,2,2,0,2,0.5,73.9625,0.0,2.0416,80,0.5,2.0,1.0
030_C109,30,C,4,7,OPTIMAL,73.6041,4,4,2,2,0,1.0,73.6041,0.0,0.0,80,0.5,2.0,1.0
030_C109,30,C,4,8,OPTIMAL,74.6985,4,3,2,1,1,0.75,74.3183,0.0,0.3802,80,0.5,2.0,1.0
030_C109,30,C,4,9,OPTIMAL,56.3445,4,3,1,2,1,0.75,55.1454,0.0,1.199,80,0.5,2.0,1.0
030_C109,30,C,6,0,OPTIMAL,86.3105,6,3,3,0,3,0.5,72.7617,0.0,13.5488,80,0.5,2.0,1.0
030_C109,30,C,6,1,OPTIMAL,133.1329,6,5,4,1,1,0.8333,119.4086,0.0,13.7243,80,0.5,2.0,1.0
030_C109,30,C,6,2,OPTIMAL,132.5886,6,4,4,0,2,0.6667,127.8775,0.0,4.7111,80,0.5,2.0,1.0
030_C109,30,C,6,3,OPTIMAL,112.1334,6,5,2,3,1,0.8333,102.4021,0.0,9.7313,80,0.5,2.0,1.0
030_C109,30,C,6,4,OPTIMAL,127.8722,6,5,4,1,1,0.8333,126.1441,0.0,1.7282,80,0.5,2.0,1.0
030_C109,30,C,6,5,OPTIMAL,131.6143,6,5,5,0,1,0.8333,123.0174,0.0,8.5969,80,0.5,2.0,1.0
030_C109,30,C,6,6,OPTIMAL,166.3306,6,4,4,0,2,0.6667,152.7715,0.0,13.5591,80,0.5,2.0,1.0
030_C109,30,C,6,7,OPTIMAL,126.6392,6,5,4,1,1,0.8333,119.7011,0.0,6.9381,80,0.5,2.0,1.0
030_C109,30,C,6,8,OPTIMAL,105.7193,6,4,3,1,2,0.6667,99.1779,0.0,6.5414,80,0.5,2.0,1.0
030_C109,30,C,6,9,OPTIMAL,142.4816,6,4,3,1,2,0.6667,98.3516,0.0,44.13,80,0.5,2.0,1.0
030_C201,30,C,2,0,OPTIMAL,18.7618,2,1,1,0,1,0.5,18.7248,0.0,0.037,80,0.5,2.0,1.0
030_C201,30,C,2,1,OPTIMAL,29.2621,2,2,2,0,0,1.0,29.2621,0.0,0.0,80,0.5,2.0,1.0
030_C201,30,C,2,2,OPTIMAL,16.3975,2,1,1,0,1,0.5,13.6314,0.0,2.7661,80,0.5,2.0,1.0
030_C201,30,C,2,3,OPTIMAL,25.6958,2,1,1,0,1,0.5,25.6834,0.0,0.0124,80,0.5,2.0,1.0
